time,freq
0.045011,303.58
0.055011,303.58
0.065011,308.13
0.075011,308.13
0.085011,312.76
0.095011,317.46
0.10501,322.22
0.11501,336.96
0.12501,347.15
0.13501,357.66
0.14501,368.48
0.15501,379.63
0.16501,385.33
0.17501,391.12
0.18501,396.99
0.19501,409
0.20501,421.38
0.21501,427.7
0.22501,427.7
0.23501,421.38
0.24501,415.14
0.25501,409
0.26501,396.99
0.27501,368.48
0.28501,299.09
0.29501,265.47
0.30501,257.67
0.31501,253.86
0.32501,246.4
0.33501,235.63
0.34501,200
0.35501,191.25
0.36501,185.64
0.37501,182.89
0.38501,182.89
0.39501,180.19
0.40501,180.19
